Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/roberta_sentiment,452,5,250000.0,214523.87306792045,3.7438000000520333,553335.4703,23.285398230088497,0.3219632433886009,0.0035615403029712485,251000,264000,271000,274000,324000,368000,508000,548000,553000,553000,553000
,Aggregated,452,5,250000.0,214523.87306792045,3.7438000000520333,553335.4703,23.285398230088497,0.3219632433886009,0.0035615403029712485,251000,264000,271000,274000,324000,368000,508000,548000,553000,553000,553000
